index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
1414,123115,Okm - El Rodeo,Av. La Dehesa 2035,LO BARNECHEA,No hay informacion disponible,-70.518280,-33.352180,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1415,123116,Okm - Huinganal Ii,Huinganal 2042,LO BARNECHEA,No hay informacion disponible,-70.510559,-33.351055,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1416,123117,Okm - Mayor Abe,Av. Macul 2841,MACUL,No hay informacion disponible,-70.599457,-33.480602,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1417,123124,Okm - Suecia,Suecia 361,PROVIDENCIA,No hay informacion disponible,-70.606895,-33.423996,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1418,123126,Okm - Nataniel Cox,Av. Tarapaca 1316,SANTIAGO,No hay informacion disponible,-70.653915,-33.448112,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1419,123147,Oxxo - Monumento Chacabuco,Chacabuco 93,MAIPU,No hay informacion disponible,-70.758614,-33.508907,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1420,123199,Bazar Paquetira Von Jireh,Via Lactea 4173,MACUL,No hay informacion disponible,-70.604698,-33.492950,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1421,123292,"Israel Rafael ""La Caserita""",Fermin Vivaceta 1558,INDEPENDENCIA,No hay informacion disponible,-70.666229,-33.410683,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1422,123335,Oxxo - Plaza Ines De Suarez,Pocuro 1815,PROVIDENCIA,No hay informacion disponible,-70.610641,-33.437183,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1423,123336,Oxxo - Asturias,Asturias 77,LAS CONDES,No hay informacion disponible,-70.585999,-33.415462,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1424,123375,Bazar Del Gato Cosmico,Dr. Amador Neghme Rodriguez 4033,MACUL,No hay informacion disponible,-70.618279,-33.452271,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1425,123400,Oxxo - Middleton,Middleton 1690,PROVIDENCIA,No hay informacion disponible,-70.614952,-33.426929,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1426,123401,Oxxo - Outlet Patio Maipu,Lo Espejo 943,MAIPU,No hay informacion disponible,-70.733337,-33.522388,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1427,123405,Oxxo - Paseo El Tamarugo,Vitacura 4607,VITACURA,No hay informacion disponible,-70.586182,-33.398853,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1428,123406,Oxxo - San Eugenio,San Eugenio 1547,ÐUÐOA,No hay informacion disponible,-70.624367,-33.466595,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1429,123407,Oxxo - Manquehue Norte,Manquehue Norte 67,LAS CONDES,No hay informacion disponible,-70.567429,-33.407471,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1430,123410,Oxxo - Outlet La Fabrica,Carlos Valdovinos 200,SAN JOAQUIN,No hay informacion disponible,-70.626648,-33.486858,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1431,123411,Oxxo - Cruz Del Sur,Cruz Del Sur 133,LAS CONDES,No hay informacion disponible,-70.583083,-33.415044,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1432,123412,"Lidia Peðailillo ""Monti""",Los Mayas 1157,PUENTE ALTO,No hay informacion disponible,-70.557426,-33.597824,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
